,ind_dataset,ood_dataset,rep_model,sample_size,vanilla_p,kn_p,sampler
121,Njordind,Njordind,VanillaVAE,10,7.997206557802856e-05,0.002783205073058452,RandomSampler
122,Njordind,Njordind,VanillaVAE,10,0.01669409857128079,0.11503649785001328,RandomSampler
123,Njordind,Njordind,VanillaVAE,10,0.0011698606459573263,0.11503649785001328,RandomSampler
124,Njordind,Njordind,VanillaVAE,10,7.5437389600157e-05,0.15199631923056828,RandomSampler
125,Njordind,Njordind,VanillaVAE,10,0.007257256830047226,0.15199631923056828,RandomSampler
126,Njordind,Njordind,VanillaVAE,10,8.91363768466597e-05,0.31818120337184574,RandomSampler
127,Njordind,Njordind,VanillaVAE,10,0.002633736873329941,0.06297834565003745,RandomSampler
128,Njordind,Njordind,VanillaVAE,10,0.019275409134931865,0.03219223124637178,RandomSampler
129,Njordind,Njordind,VanillaVAE,10,0.02110739568191755,0.19774379978505477,RandomSampler
130,Njordind,Njordind,VanillaVAE,10,0.00811032144182433,0.02243304151007743,RandomSampler
131,Njordind,Njordind,VanillaVAE,10,0.001967610212009789,0.03219223124637178,RandomSampler
132,Njordind,Njordind,VanillaVAE,10,0.0006162430180288404,0.002783205073058452,RandomSampler
133,Njordind,Njordind,VanillaVAE,10,0.01508261396420052,0.15199631923056828,RandomSampler
134,Njordind,Njordind,VanillaVAE,10,0.00021588250309025357,0.03219223124637178,RandomSampler
135,Njordind,Njordind,VanillaVAE,10,0.00016441929504406146,0.006806179435775496,RandomSampler
136,Njordind,Njordind,VanillaVAE,10,0.0005420807616363956,0.0006178973521373264,RandomSampler
137,Njordind,Njordind,VanillaVAE,10,0.01746066296585813,0.19774379978505477,RandomSampler
138,Njordind,Njordind,VanillaVAE,10,0.005013564775506988,0.39459210638345227,RandomSampler
139,Njordind,Njordind,VanillaVAE,10,0.0004630366422046585,0.06297834565003745,RandomSampler
140,Njordind,Njordind,VanillaVAE,10,0.05422837574927697,0.15199631923056828,RandomSampler
141,Njordind,Njordind,VanillaVAE,10,1.9032052162548613e-06,0.00035640144010714247,RandomSampler
142,Njordind,Njordind,VanillaVAE,10,0.00657007437155281,0.11503649785001328,RandomSampler
143,Njordind,Njordind,VanillaVAE,10,0.008743106708692272,0.19774379978505477,RandomSampler
144,Njordind,Njordind,VanillaVAE,10,0.024396270740992376,0.15199631923056828,RandomSampler
145,Njordind,Njordind,VanillaVAE,10,0.005129924113995648,0.08578017804312826,RandomSampler
146,Njordind,Njordind,VanillaVAE,10,0.035119425821930506,0.02243304151007743,RandomSampler
147,Njordind,Njordind,VanillaVAE,10,0.004334268068176199,0.010329637176077959,RandomSampler
148,Njordind,Njordind,VanillaVAE,10,0.01308875942080201,0.11503649785001328,RandomSampler
149,Njordind,Njordind,VanillaVAE,10,0.0005585808062247648,0.02243304151007743,RandomSampler
150,Njordind,Njordind,VanillaVAE,10,0.014817289842699699,0.015364482537903207,RandomSampler
151,Njordind,Njordind,VanillaVAE,10,0.01158019595630888,0.00020037382917069028,RandomSampler
152,Njordind,Njordind,VanillaVAE,10,0.0017605500485584754,0.03219223124637178,RandomSampler
153,Njordind,Njordind,VanillaVAE,10,0.027937081386649742,0.04541899021115892,RandomSampler
154,Njordind,Njordind,VanillaVAE,10,0.010873008687231067,0.06297834565003745,RandomSampler
155,Njordind,Njordind,VanillaVAE,10,0.00014453678277365773,0.00035640144010714247,RandomSampler
156,Njordind,Njordind,VanillaVAE,10,0.00023584468519824748,0.006806179435775496,RandomSampler
157,Njordind,Njordind,VanillaVAE,10,0.003811435386953459,0.06297834565003745,RandomSampler
0,Njordind,Njordind,VanillaVAE,10,3.0734544441724643e-09,1.7508018109849231e-09,ClusterSampler
1,Njordind,Njordind,VanillaVAE,10,4.4421908181478775e-18,2.6527300166438223e-11,ClusterSampler
2,Njordind,Njordind,VanillaVAE,10,1.3381987992455605e-07,2.6527300166438223e-11,ClusterSampler
3,Njordind,Njordind,VanillaVAE,10,1.2747663091592353e-24,2.6527300166438223e-11,ClusterSampler
4,Njordind,Njordind,VanillaVAE,10,8.329070153214102e-25,2.6527300166438223e-11,ClusterSampler
5,Njordind,Njordind,VanillaVAE,10,1.0327537546770693e-24,2.6527300166438223e-11,ClusterSampler
6,Njordind,Njordind,VanillaVAE,10,1.0327537546770693e-24,2.6527300166438223e-11,ClusterSampler
7,Njordind,Njordind,VanillaVAE,10,5.1625735156832755e-23,2.6527300166438223e-11,ClusterSampler
8,Njordind,Njordind,VanillaVAE,10,4.777520388562444e-10,2.6527300166438223e-11,ClusterSampler
9,Njordind,Njordind,VanillaVAE,10,2.6019856638983496e-14,2.6527300166438223e-11,ClusterSampler
10,Njordind,Njordind,VanillaVAE,10,0.0005183201780716053,0.03219223124637178,ClusterSampler
11,Njordind,Njordind,VanillaVAE,10,2.0929336285206997e-13,2.6527300166438223e-11,ClusterSampler
12,Njordind,Njordind,VanillaVAE,10,1.0549388213681807e-14,2.6527300166438223e-11,ClusterSampler
13,Njordind,Njordind,VanillaVAE,10,1.8794192008120923e-14,2.6527300166438223e-11,ClusterSampler
14,Njordind,Njordind,VanillaVAE,10,4.88812183668648e-11,7.052441913048601e-06,ClusterSampler
15,Njordind,Njordind,VanillaVAE,10,0.0,2.6527300166438223e-11,ClusterSampler
16,Njordind,Njordind,VanillaVAE,10,2.121443968906664e-12,2.9797081712253577e-05,ClusterSampler
17,Njordind,Njordind,VanillaVAE,10,5.416249310017314e-26,2.6527300166438223e-11,ClusterSampler
18,Njordind,Njordind,VanillaVAE,10,6.391483769391663e-13,2.6553827466604668e-08,ClusterSampler
19,Njordind,Njordind,VanillaVAE,10,3.958288248482981e-19,2.6527300166438223e-11,ClusterSampler
20,Njordind,Njordind,VanillaVAE,10,5.689626289255629e-12,2.6527300166438223e-11,ClusterSampler
21,Njordind,Njordind,VanillaVAE,10,4.7309751237082965e-09,2.6527300166438223e-11,ClusterSampler
22,Njordind,Njordind,VanillaVAE,10,2.3870877935123213e-22,2.6527300166438223e-11,ClusterSampler
23,Njordind,Njordind,VanillaVAE,10,9.865742065012455e-13,7.052441913048601e-06,ClusterSampler
24,Njordind,Njordind,VanillaVAE,10,1.0765499419228871e-12,2.6527300166438223e-11,ClusterSampler
25,Njordind,Njordind,VanillaVAE,10,4.401282250727651e-13,2.6527300166438223e-11,ClusterSampler
26,Njordind,Njordind,VanillaVAE,10,4.665547180132457e-13,2.6527300166438223e-11,ClusterSampler
27,Njordind,Njordind,VanillaVAE,10,0.00012505842856920066,5.786399985305171e-07,ClusterSampler
28,Njordind,Njordind,VanillaVAE,10,5.530664158026417e-12,2.6527300166438223e-11,ClusterSampler
29,Njordind,Njordind,VanillaVAE,10,5.9190826135810125e-12,2.6527300166438223e-11,ClusterSampler
30,Njordind,Njordind,VanillaVAE,10,6.01516402045551e-09,2.6527300166438223e-11,ClusterSampler
31,Njordind,Njordind,VanillaVAE,10,2.7309629022420017e-14,7.052441913048601e-06,ClusterSampler
32,Njordind,Njordind,VanillaVAE,10,5.7746526545368974e-08,2.2410263180607008e-07,ClusterSampler
33,Njordind,Njordind,VanillaVAE,10,4.1438383214859995e-28,2.6527300166438223e-11,ClusterSampler
34,Njordind,Njordind,VanillaVAE,10,5.214888311047248e-28,2.6527300166438223e-11,ClusterSampler
35,Njordind,Njordind,VanillaVAE,10,1.5175333658932857e-06,1.7508018109849231e-09,ClusterSampler
36,Njordind,Njordind,VanillaVAE,10,1.761726356337463e-07,2.6527300166438223e-11,ClusterSampler
37,Njordind,Njordind,VanillaVAE,10,4.50340722876134e-08,7.586807847601333e-09,ClusterSampler
38,Njordind,Njordind,VanillaVAE,10,2.1943315112435115e-10,1.4767376620453829e-05,ClusterSampler
39,Njordind,Njordind,VanillaVAE,10,1.5849741378840701e-12,8.085521090730372e-08,ClusterSampler
40,Njordind,Njordind,VanillaVAE,10,4.466053467576291e-23,2.6527300166438223e-11,ClusterSampler
41,Njordind,Njordind,VanillaVAE,10,3.168131717923803e-08,5.786399985305171e-07,ClusterSampler
42,Njordind,Njordind,VanillaVAE,10,7.829464928559394e-19,2.6527300166438223e-11,ClusterSampler
43,Njordind,Njordind,VanillaVAE,10,2.3453318879419613e-10,2.6527300166438223e-11,ClusterSampler
44,Njordind,Njordind,VanillaVAE,10,1.3989038300659534e-08,0.00035640144010714247,ClusterSampler
45,Njordind,Njordind,VanillaVAE,10,2.4018639016582397e-12,8.085521090730372e-08,ClusterSampler
46,Njordind,Njordind,VanillaVAE,10,8.150588852210586e-10,0.00020037382917069028,ClusterSampler
47,Njordind,Njordind,VanillaVAE,10,8.053965957300962e-07,0.00020037382917069028,ClusterSampler
48,Njordind,Njordind,VanillaVAE,10,3.910286316995291e-15,2.6527300166438223e-11,ClusterSampler
49,Njordind,Njordind,VanillaVAE,10,1.1766574466633425e-06,7.052441913048601e-06,ClusterSampler
50,Njordind,Njordind,VanillaVAE,10,2.6371599120693037e-18,2.6527300166438223e-11,ClusterSampler
51,Njordind,Njordind,VanillaVAE,10,4.853030206496715e-19,2.6527300166438223e-11,ClusterSampler
52,Njordind,Njordind,VanillaVAE,10,1.4892993140221758e-07,5.786399985305171e-07,ClusterSampler
53,Njordind,Njordind,VanillaVAE,10,2.4600821800048234e-05,1.4058938542208932e-06,ClusterSampler
54,Njordind,Njordind,VanillaVAE,10,5.214888311045589e-18,2.6527300166438223e-11,ClusterSampler
55,Njordind,Njordind,VanillaVAE,10,3.032999572900649e-13,7.052441913048601e-06,ClusterSampler
56,Njordind,Njordind,VanillaVAE,10,5.21000049741987e-09,2.9797081712253577e-05,ClusterSampler
57,Njordind,Njordind,VanillaVAE,10,1.7573736084060035e-13,7.052441913048601e-06,ClusterSampler
58,Njordind,Njordind,VanillaVAE,10,2.027924157580071e-10,3.228186739154365e-06,ClusterSampler
59,Njordind,Njordind,VanillaVAE,10,3.579037346809742e-13,2.6527300166438223e-11,ClusterSampler
60,Njordind,Njordind,VanillaVAE,10,4.768270760638821e-13,2.6527300166438223e-11,ClusterSampler
61,Njordind,Njordind,VanillaVAE,10,1.9960392130859777e-10,7.052441913048601e-06,ClusterSampler
62,Njordind,Njordind,VanillaVAE,10,1.679135462529355e-12,8.085521090730372e-08,ClusterSampler
63,Njordind,Njordind,VanillaVAE,10,6.508826294891053e-14,2.9797081712253577e-05,ClusterSampler
64,Njordind,Njordind,VanillaVAE,10,1.3834766789487502e-12,0.002783205073058452,ClusterSampler
65,Njordind,Njordind,VanillaVAE,10,2.698713161250597e-22,2.6527300166438223e-11,ClusterSampler
66,Njordind,Njordind,VanillaVAE,10,2.308984967322529e-10,0.00035640144010714247,ClusterSampler
67,Njordind,Njordind,VanillaVAE,10,1.3801856864179134e-09,2.6527300166438223e-11,ClusterSampler
68,Njordind,Njordind,VanillaVAE,10,5.248566173407649e-10,0.00020037382917069028,ClusterSampler
69,Njordind,Njordind,VanillaVAE,10,1.1692356188982641e-17,2.6527300166438223e-11,ClusterSampler
70,Njordind,Njordind,VanillaVAE,10,1.077551881492364e-14,2.6527300166438223e-11,ClusterSampler
71,Njordind,Njordind,VanillaVAE,10,4.1998390765878695e-11,2.9180030183082047e-10,ClusterSampler
72,Njordind,Njordind,VanillaVAE,10,2.2454249384731624e-16,8.085521090730372e-08,ClusterSampler
73,Njordind,Njordind,VanillaVAE,10,1.7161851644589878e-16,2.6527300166438223e-11,ClusterSampler
74,Njordind,Njordind,VanillaVAE,10,6.391483769391663e-13,2.6527300166438223e-11,ClusterSampler
75,Njordind,Njordind,VanillaVAE,10,1.8827083042274547e-12,2.2410263180607008e-07,ClusterSampler
76,Njordind,Njordind,VanillaVAE,10,3.5663025838999076e-11,1.4058938542208932e-06,ClusterSampler
77,Njordind,Njordind,VanillaVAE,10,1.19480794758463e-08,2.6527300166438223e-11,ClusterSampler
78,Njordind,Njordind,VanillaVAE,10,1.8584697850650405e-13,2.6527300166438223e-11,ClusterSampler
79,Njordind,Njordind,VanillaVAE,10,2.7309629022420017e-14,2.6527300166438223e-11,ClusterSampler
80,Njordind,Njordind,VanillaVAE,10,7.361706370270451e-14,2.6527300166438223e-11,ClusterSampler
81,Njordind,Njordind,VanillaVAE,10,2.1532072505412128e-06,2.2410263180607008e-07,ClusterSampler
82,Njordind,Njordind,VanillaVAE,10,1.1322199259564073e-29,2.6527300166438223e-11,ClusterSampler
83,Njordind,Njordind,VanillaVAE,10,9.983963497428656e-10,2.9180030183082047e-10,ClusterSampler
84,Njordind,Njordind,VanillaVAE,10,1.2191955833335205e-17,2.6527300166438223e-11,ClusterSampler
85,Njordind,Njordind,VanillaVAE,10,1.2989736458547678e-09,2.6527300166438223e-11,ClusterSampler
86,Njordind,Njordind,VanillaVAE,10,2.4646829074175097e-16,2.6527300166438223e-11,ClusterSampler
87,Njordind,Njordind,VanillaVAE,10,3.139005555901259e-09,2.6527300166438223e-11,ClusterSampler
88,Njordind,Njordind,VanillaVAE,10,2.6019856638983496e-14,2.6527300166438223e-11,ClusterSampler
89,Njordind,Njordind,VanillaVAE,10,1.0827714419751527e-13,2.6527300166438223e-11,ClusterSampler
90,Njordind,Njordind,VanillaVAE,10,2.1189554215779292e-06,0.002783205073058452,ClusterSampler
91,Njordind,Njordind,VanillaVAE,10,7.623196722038209e-14,2.6527300166438223e-11,ClusterSampler
92,Njordind,Njordind,VanillaVAE,10,1.8678880879564596e-09,8.085521090730372e-08,ClusterSampler
93,Njordind,Njordind,VanillaVAE,10,1.1635508936962979e-08,1.7508018109849231e-09,ClusterSampler
94,Njordind,Njordind,VanillaVAE,10,1.084378364546482e-16,2.6527300166438223e-11,ClusterSampler
95,Njordind,Njordind,VanillaVAE,10,8.119025096600633e-17,2.6527300166438223e-11,ClusterSampler
96,Njordind,Njordind,VanillaVAE,10,4.319933022560417e-12,2.6527300166438223e-11,ClusterSampler
97,Njordind,Njordind,VanillaVAE,10,1.2389446910802547e-11,0.00020037382917069028,ClusterSampler
98,Njordind,Njordind,VanillaVAE,10,4.87386466881569e-10,8.085521090730372e-08,ClusterSampler
99,Njordind,Njordind,VanillaVAE,10,8.499216440481858e-19,2.6527300166438223e-11,ClusterSampler
100,Njordind,Njordind,VanillaVAE,10,1.0045036808449956e-08,0.00010956692813324749,ClusterSampler
101,Njordind,Njordind,VanillaVAE,10,5.015919400712059e-13,2.6527300166438223e-11,ClusterSampler
102,Njordind,Njordind,VanillaVAE,10,9.27999478396872e-25,2.6527300166438223e-11,ClusterSampler
103,Njordind,Njordind,VanillaVAE,10,1.0327537546770693e-24,2.6527300166438223e-11,ClusterSampler
104,Njordind,Njordind,VanillaVAE,10,3.9518721785415945e-14,2.6527300166438223e-11,ClusterSampler
105,Njordind,Njordind,VanillaVAE,10,2.4069916500684877e-14,2.6527300166438223e-11,ClusterSampler
106,Njordind,Njordind,VanillaVAE,10,7.170916917123285e-14,2.6527300166438223e-11,ClusterSampler
107,Njordind,Njordind,VanillaVAE,10,4.120147974164766e-13,2.6527300166438223e-11,ClusterSampler
108,Njordind,Njordind,VanillaVAE,10,4.118043194339748e-17,2.6527300166438223e-11,ClusterSampler
109,Njordind,Njordind,VanillaVAE,10,3.522594011437945e-09,5.786399985305171e-07,ClusterSampler
110,Njordind,Njordind,VanillaVAE,10,1.519740233027295e-13,2.9180030183082047e-10,ClusterSampler
111,Njordind,Njordind,VanillaVAE,10,1.7995505750077476e-10,0.006806179435775496,ClusterSampler
112,Njordind,Njordind,VanillaVAE,10,3.865515867659161e-32,2.6527300166438223e-11,ClusterSampler
113,Njordind,Njordind,VanillaVAE,10,6.846100931352318e-32,2.6527300166438223e-11,ClusterSampler
114,Njordind,Njordind,VanillaVAE,10,7.010407353710227e-29,2.6527300166438223e-11,ClusterSampler
115,Njordind,Njordind,VanillaVAE,10,5.084484483691608e-09,2.6527300166438223e-11,ClusterSampler
116,Njordind,Njordind,VanillaVAE,10,6.721482094024089e-09,7.586807847601333e-09,ClusterSampler
117,Njordind,Njordind,VanillaVAE,10,0.0,2.6527300166438223e-11,ClusterSampler
118,Njordind,Njordind,VanillaVAE,10,0.0,2.6527300166438223e-11,ClusterSampler
119,Njordind,Njordind,VanillaVAE,10,1.194279917471664e-11,2.6527300166438223e-11,ClusterSampler
