,Unnamed: 0,fold,sampler,pvalue,loss
20,0,ind,ClassOrderSampler,1.556374687579219e-14,"[     0.1436      4.2336      4.3723     0.36317     0.22297      4.3771        1.95      2.1813     0.32937      0.8114      4.3975     0.54006      3.8126      0.5816     0.55742      4.0633      4.3854      1.6708       2.685      3.2181      3.3941      2.0815      2.0715      2.6099     0.79441       2.818
      2.4175       2.316      2.8074     0.96745      2.1309      1.3654      2.4427      2.7077      2.2532      3.4976      3.7546      3.1253      2.6714     0.51143      2.3543      2.0352     0.93879       2.683      3.9148       3.308      2.0724      2.0463      1.9578       2.221]"
21,0,ind,ClassOrderSampler,1.7254202379839012e-18,"[     2.7461      1.7145      3.9422      3.9327      2.3412      3.4581      2.0252      1.6023      2.6786      2.2332      3.6595      1.6597      3.3859      2.0596      2.6609      1.9697      1.3421      2.2719      1.7095      1.5453      1.9072      2.7774       2.195      1.6509      2.8872      1.3393
      2.6305      2.9655      7.3289      2.9743      3.4748      2.3521      3.3572      0.7534      3.9518      1.2787      1.3014      0.9622      1.1425       1.931       1.665     0.78229      2.1726      2.0058      1.0644      1.6214      3.0894      3.9654      3.0309      3.1988]"
22,0,ind,ClassOrderSampler,1.114679155467175e-13,"[     3.7402     0.84305      1.1991     0.81844      1.7883      1.3907      3.1928      1.8205      3.9099      3.0251     0.45767      3.4296     0.47656      3.9011      2.8339      1.7255      1.8004     0.75913     0.98958      3.9287      3.1659      2.1794      3.9309     0.94739      3.8199      1.7389
      1.8003      1.5446       3.107       1.469      2.6145      1.5546      1.4565      0.2574      1.0888      3.2755     0.99927      1.7525     0.92037      1.9435      2.6052      2.5003      1.7414      1.9772      2.9345      1.2913      1.7052      1.8055      2.0818      2.6701]"
23,0,ind,ClassOrderSampler,6.9974254720718075e-22,"[     1.6231      2.4812      1.9287      1.7872      1.3945      2.2398      3.6119      1.3798      1.6541      3.6852     0.76165      1.9062      3.3071      1.7801      2.0359      1.5788     0.67388      1.9632      1.8807      1.1753      1.6579      1.7807      1.2989     0.79852      3.0021      1.2413
      2.1926      2.3528      1.3138     0.90244      2.0394      3.3136      1.7075      1.3014      2.2739      1.5967      2.7824      1.5571       2.472      2.0721      1.2678      1.2177      2.6451      1.5102      3.3229      1.2814      1.7409      1.6381      3.4284      3.6019]"
24,0,ind,ClassOrderSampler,2.526258453600208e-14,"[     4.0115       4.121      3.8376      3.9921      3.2469      6.7348      3.5187      4.1042      3.3954      4.1068      3.5187      3.8408      3.2775      3.2357      2.9245      3.2024      3.4991      3.1207      2.8905      3.9213      4.1983      2.5686      4.2023      3.2334      3.5375       3.811
      3.1626      3.7858      3.1227       3.397      3.9448      3.4484      4.5531       3.734      3.0494      3.2768      3.2473      4.1584      3.1776      3.7689      3.1669      3.0011      3.0789      4.1059      3.5635      2.5206      2.4261      4.4478      4.1329      2.9526]"
25,0,ind,ClassOrderSampler,3.762866776998321e-12,"[     5.0639      3.4891      3.6517      2.3843       3.162       3.583      2.9374      3.1367      3.6141      3.9571      3.1038      4.4519      3.2091      2.9341      3.4633      3.2248      3.2603      3.2857      3.0838      3.4628      3.8411      3.2766      3.4181      3.2203      3.2877       3.346
      3.9677      3.3479       4.149      3.6439      3.8504      2.6703      3.3981      4.2587      3.9533      3.7828      3.8653      7.3171      3.8011      3.5242      3.4984      7.3624      3.6285       2.371      2.1236      2.0958      2.0908      2.6773       2.623      1.8807]"
26,0,ind,ClassOrderSampler,5.729173264825367e-14,"[     2.2239       2.349      3.1062      2.0535      2.5207      2.8341      1.5549      2.0469      1.6644      1.4293      1.5409      1.7068      2.9511       1.747      2.0232      3.0345      2.6371      1.0475      1.8048      1.7452      1.6935      1.8149      2.2401      1.7139      1.5153      2.5492
      4.3569      3.9351       4.269      4.1739      3.8172      4.4929      4.3674      3.1076      4.0444       3.661      4.5684      4.6069      4.0749      4.5246      4.8002      4.0286      4.0033      4.4106      4.3976      3.9693      3.5417      4.0347      3.7778      4.2922]"
27,0,ind,ClassOrderSampler,2.1289593596598987e-18,"[     3.9315      4.3573      4.2363      4.5246      3.6362      4.4767      3.9692      4.9134      4.3467      3.7795     0.83952     0.98627      3.6742      1.1785      1.1882      1.2986     0.66377      1.3751      2.0387     0.88609      3.0065     0.53064      1.8607      0.8705     0.90119      1.9451
     0.98979     0.53386      3.2319      2.7166      1.1044      1.3296       2.107     0.37274     0.14921     0.39866     0.84795     0.73755     0.51412     0.38652      1.0907     0.76818      0.6207      2.3656      1.0749     0.35223      2.3541      3.6514     0.50663      2.7748]"
28,0,ind,ClassOrderSampler,1.635879077657661e-20,"[     0.5174     0.80173      1.3341     0.98318      1.2917     0.62076     0.73987     0.72114      2.0684      4.4744      2.5657      4.8579      3.8489      1.5055      2.5548      3.1242      4.3153      2.5446      4.0437      4.0522      4.3963      3.7523       3.592      3.6546      3.2649      3.0146
      1.9547     0.75191       3.038      4.7801      3.5491      2.7225      4.1651      6.8151      3.2972      4.1328      2.4941      4.0514      4.2865      1.8414      2.1789      2.3657      2.2805      3.2321      3.1329      1.8644      2.9162      3.6584      4.2073      2.9466]"
29,0,ind,ClassOrderSampler,5.511943718518553e-44,"[     3.5745      5.7271      3.1649      3.7694      3.7077      3.1985      2.0344     0.62678     0.61167      1.1811      1.5601      2.5687      1.3714      1.7045      1.9851     0.77557      2.8275      2.0502     0.12586       4.107      2.5526     0.53176      1.1921      1.8563      2.0464     0.11512
      3.5175       1.178      3.6126      3.5438       1.129      2.5324      3.1094      0.3601      1.0258      9.4136      2.4563      3.1732      2.2427      2.0516      1.6789       1.581      4.1718      2.8553      2.3713     0.86669      0.8788      1.3343      4.0597      1.0968]"
30,0,ind,ClassOrderSampler,4.4393283291136786e-48,"[   0.038616     0.66077      1.9529     0.88201     0.99698     0.16983      1.2991    0.030239       2.126      1.4737    0.013961     0.11681      1.0497       0.458      1.0102      2.0543     0.80636      1.6907      4.4122      2.9308     0.90835      2.3765      2.9165     0.61603      4.1838      3.0146
      2.2948     0.19164     0.38571      4.3095      1.0899     0.65565     0.99698     0.12728     0.32399       1.069     0.69374      3.7904      4.2891     0.81895     0.90777     0.29547      1.2476    0.066118      1.4767     0.14352     0.88877     0.38571    0.041459      1.8668]"
31,0,ind,ClassOrderSampler,2.5822035057346134e-22,"[     1.7952      4.0325      1.2643     0.23831    0.025797     0.49305    0.019179      1.6531      2.3396   0.0075515     0.77917      3.9544     0.58816    0.035155    0.011807     0.82299     0.11548      4.0389      4.0666      4.2639      3.8872       4.141      4.2716      4.0796      4.1243      4.1162
      4.2212      4.1554      4.2897      4.3059      4.0706      4.3166       4.065      4.1379      4.2748      4.2915      4.0907      4.1487      4.0353      4.3811      4.1915      4.1926      4.2386      4.1762      4.0344      4.0578      4.1769       3.931      4.1268      3.9351]"
32,0,ind,ClassOrderSampler,1.7586191381997572e-20,"[      4.457      4.3316      4.0361      4.0464      3.6979      4.2727      3.9186      4.2245      4.0782      4.4086      4.2655       4.398      4.3584      4.4407      4.0406      4.3689      4.4608      4.3781      4.3074      4.5975      3.7676      4.4345      4.0506      3.8568      4.2199      4.5191
      3.7392      4.3075      4.1777      4.2122      4.2684      4.2055      4.2902      4.0907      4.3826      4.0813      4.0336      4.0197      4.3796      4.2224      17.817      4.0168      4.0669      4.2619      4.1358      4.4324      4.5137      2.6537      4.1059      3.9825]"
33,0,ind,ClassOrderSampler,1.9510092759618639e-25,"[     3.3348       4.361      3.5843      3.9311      3.5501      3.7514      4.3666      3.4211      3.5096      4.4504      4.2859      4.1105      3.6711      4.3988      4.4373      3.6974      3.9903      3.4858      3.2353      3.9844      4.1969      4.4066      3.2638      4.2045      4.4469      3.5771
      4.1206      3.4261      4.4682      4.0341      3.9703      4.3201      3.5439      3.9104       4.026      3.9719       3.762      3.7065      4.0746      3.3283       3.383      3.8467      3.6153      3.2187      4.2661      4.4415      3.8946      4.0186      3.9088      4.2563]"
34,0,ind,ClassOrderSampler,5.515672714672247e-20,"[     3.8828      3.6394      4.4168      4.3456      4.1901      2.9335      4.3876      4.1479      4.3327      4.2143      3.9743      3.8416      1.6417       1.617      3.2088      1.3492      2.8219      3.0441      2.0328      4.3014      1.7355      1.9931      2.7971      3.1227      1.1136      1.7338
      2.1571      3.1729      1.4047      3.1448      4.0324      2.8961      5.2416      1.9469      1.8567       2.783      4.2333      1.3975      1.8444      3.5154      3.6919      3.4442     0.43805      2.5517      3.9739      1.9784      1.8727      2.2797       2.003      1.6043]"
35,0,ind,ClassOrderSampler,1.4039786894447648e-30,"[    0.68212      1.8371       1.253     0.78941     0.44224      1.2538       2.127      2.1247      1.3364      3.9739        1.54     0.97743      1.4761      3.1414     0.81937      0.6185      2.8106     0.53455      2.2444      2.5342      2.7617      3.4194     0.50628     0.57753      2.2652      1.1118
     0.90885     0.93822      1.1195      1.9527      3.0183        1.64      3.7631      2.4961      2.3841      1.1397      1.2993      1.8266      3.6196      1.1087     0.40481     0.48095      3.5299      1.8956     0.89237     0.32244      1.6935    0.072753      0.5219     0.53456]"
36,0,ind,ClassOrderSampler,2.212777033439651e-56,"[    0.85175      2.0262     0.64477     0.91942       1.468      1.1862     0.92208     0.64317      2.9591   0.0029289     0.65246      2.2492     0.23582      6.6214     0.15101   0.0047499  0.00047613     0.41758     0.61451      2.4801       1.539     0.85563      1.3681     0.73087    0.088868     0.16058
     0.71742  0.00058038      1.8889    0.012566    0.033964      0.8872      1.8393      2.5686     0.19817     0.43929     0.82992    0.037093      2.0479     0.63241     0.23785      1.7848      0.2404      1.7848      0.1801      4.1755      1.8954    0.016024     0.27567     0.17075]"
37,0,ind,ClassOrderSampler,1.704540434194034e-22,"[     3.9064      4.1881      2.2253     0.54343     0.22868      0.5441   0.0013247      1.9679     0.11573        1.66     0.40205      1.1313     0.42072    0.022579     0.74897      2.7345      1.8593      1.2536      1.0343      1.4661       1.682      3.0026      4.0269      2.5219      3.9843      7.0206
      2.4148      3.6503      3.9752     0.79661      4.0202      3.9366      2.1765      2.7321      2.8517      3.4647      3.3271      3.1412      3.5991       4.136      4.0703      6.5572      3.8207      4.2153      3.6341      4.5874      5.3232      3.6195      3.2217      3.2889]"
38,0,ind,ClassOrderSampler,5.0547979733860044e-24,"[     4.0603      3.4664      4.1922      3.1527      3.2049       4.053      4.4223      3.5055      4.1211      3.8979      4.0474      3.1308      3.9716      3.6116      4.0878      3.6242      5.1913      3.3652      5.9616      3.3134      3.8294      4.0611      3.5114      4.8569      3.7427      3.2622
      5.9622      5.0269      6.5017      5.4015      3.8581      3.2263      3.6899      5.5162      2.6659      3.3675      3.6381       5.251        3.07      4.1415        3.94      3.3887      3.3519      3.8617       4.488      5.1854      3.7455      3.9007      3.4059      3.6476]"
39,0,ind,ClassOrderSampler,6.661710296978497e-10,"[     3.8196      3.3528      3.3706      3.6506      3.9576      4.0534      4.0072      3.9782      5.6725      3.8169      3.7399      3.4164      3.7351      3.4712      4.0695      4.0612      3.3891      3.4471      4.8344      3.5396      3.5107       5.209      3.4321      3.4685      3.3867      7.7115
      4.6561      4.3477      4.2349      4.3709      4.4101      4.1674      4.2629      4.1599      4.2955      4.2357      4.3526        4.37       4.232      4.3331       4.321      4.3279      4.3924      4.1618      3.5896      3.1917      2.0783       2.924      3.1751      3.6455]"
40,0,ind,ClassOrderSampler,4.719703022837147e-24,"[     2.3267      3.7375      2.7206      3.2761      4.9788      2.6422      5.5176      2.9288      3.0796      4.5672      3.2942      3.3499      4.6159      5.4468      3.3109      4.4377      3.9186      5.7158      3.8082      4.6378      3.2497      3.3084      3.0531      3.5809      7.6097      2.7876
      3.4451      2.0636      3.1919      4.3222      4.0212      3.7227       3.313      2.2844      2.4301      3.4544      3.1251      3.3202      1.3194      2.3304      6.9742       3.088      3.0663      2.7286      3.5669      3.0887       3.205      3.4801      3.2439      3.1995]"
41,0,ind,ClassOrderSampler,1.5981035517310563e-10,"[     2.9579       5.564      2.3004      4.0509      4.4187      3.6622      2.6672      2.8462      4.4743      3.2997      3.0663      4.2488      4.5894      4.5971      4.6013      4.3387      4.4186      4.3906        4.41       4.581      4.3266      5.5098      4.5069      4.4078      1.4819      1.3921
      1.3122      1.9518      1.4307      1.3559      1.9486      2.4698      1.4457      1.2205       4.406      1.4063      1.6384      1.4216      1.5688       3.579      1.5368      3.9484      1.4363      1.0675      2.5754      1.4866      4.4499       1.527      1.2813      1.7592]"
42,0,ind,ClassOrderSampler,2.747093882118525e-19,"[     1.3743      2.1165      2.4003      3.2809      2.9143      2.2649      2.5178      2.6452      3.6032      3.0606      2.1833      2.4118       3.293      2.3079      2.5178      2.5762      2.2006      2.6636       2.011      2.8496      3.0114      2.9795      2.8893      2.7572      2.5319      3.5488
      2.1247      3.2667      3.6111      3.0625      2.3765      2.5261      3.1342      3.2763      2.2705      3.2411      2.5358      2.8368      3.7584      3.3245      2.3209      1.9257      5.5056      2.9502      4.8087      2.8561      3.7299       3.978      3.1904      1.9238]"
43,0,ind,ClassOrderSampler,5.83279582625028e-16,"[     2.9694      2.8199      4.4983      2.4448      3.9501      2.7963       2.597       5.078      2.3388      3.8336      2.4548      3.3255      3.0479      1.9102      3.0861      2.5337      2.5991       3.219      1.9966      4.4983       4.304      3.8552      2.2568       3.136      3.1159       1.875
      3.6126      2.2546      7.0412      2.6403      2.8123      3.4867      2.6656      3.6803      2.2085      2.2322      2.7491      3.5928      3.5338      3.0122      2.8647      2.7564      1.3818       2.592      2.2879      3.5319      3.3281      1.2135      2.2284      3.3272]"
44,0,ind,ClassOrderSampler,1.1201932877735101e-17,"[     3.6498      1.2489      2.8277      3.0246      2.3002      1.4821      1.2286      2.6571      3.4719      1.4431      2.6506     0.22904      3.1432      2.3716      3.7441      2.4025      3.6508      2.0576       1.201     0.23421      2.8123      3.5664      2.7957      3.0523       1.455      3.6299
      2.5502      1.2541     0.61409      2.0551      2.6267      2.8078     0.71483       2.486      1.9511      2.2693      2.0046      3.0097      2.1208      4.4787      2.9915      3.3666      3.2663      2.6073      2.5579      1.8359      2.3117      3.0071      3.8464      2.3475]"
45,0,ind,ClassOrderSampler,1.735973212971514e-20,"[     3.0999      1.7108      2.7708      4.2983      2.2509      4.9412      3.5498      2.8602      3.3003       2.974      6.6637      2.4993      3.2205      3.3405      3.2506      2.3828      1.8353      2.5967       2.646      1.6279      6.6049      5.9659      7.0726      2.7878      2.2369      2.3946
       2.375      3.4783      2.8508      1.8216      2.3699      3.4898        3.13      1.9537      2.4191      2.8143      2.3771      1.8543      2.2187      3.7109      2.9286      3.4716      2.6563      2.8523       3.615      2.3261      3.8558      2.1406       2.842      2.7966]"
46,0,ind,ClassOrderSampler,2.1115652208393697e-12,"[     2.8043      3.7431      2.4845      3.4615       3.016      2.2533      3.3505      2.3777      3.7166      3.4607      4.1264       4.303      4.1055      3.3442      3.7031      4.4321      4.3129      3.9845      3.3816      4.0983      3.7636      4.0015      4.2102      4.3124      3.7315      4.3459
      3.4444      3.8374      3.6545      3.9109      4.2971      3.5833      3.8662      4.3287       4.265      3.4121      2.8433      2.6204       2.968      4.4165      3.4064       6.338      1.6064      2.6038      2.4817     0.85919      1.4312      3.9656      2.9143      4.8657]"
47,0,ind,ClassOrderSampler,1.0137374901630472e-30,"[     4.9324     0.95977      1.6962      3.5994      2.6668      2.4604      3.7825      1.0423      2.3951      2.4569      1.2524      2.3842      3.8989      2.9343       4.338      3.5328      0.7449      3.5648       3.337      4.3723       3.135      2.6303      2.3613      3.9664      2.3453      3.1063
      1.4394       4.932      1.8358      1.0782      2.4227      2.8597      2.8245      1.0093      2.4445      1.7133     0.70493      2.9766      2.5186     0.96331      1.6982      2.8899      1.8112      2.8054      3.2722      1.4296     0.58451      2.8875      2.8144      3.4652]"
48,0,ind,ClassOrderSampler,4.651599598337612e-20,"[     3.0858      2.3694      6.1558      2.6783      1.4796      1.3916      2.1022      1.5446     0.77204     0.81834      1.0403      1.3279      2.3916     0.80789      4.7413     0.94576      2.2957       4.268      2.3366     0.95692       1.015      4.2701      3.6818      2.7811      1.9606     0.16897
       4.516       2.117     0.73329      3.0986      0.9426      1.1822     0.91244      4.1671      2.4955      0.8135      1.2841      4.1325      1.5881      2.0971     0.73515       1.348      4.1695       1.352      9.5698     0.35692      2.3595     0.70067     0.50051     0.81542]"
49,1,ind,ClusterSampler,9.059771152055465e-45,"[     2.8555     0.22319      0.1964       0.708      3.3245      2.0001    0.050728     0.61692      4.1983      3.2772     0.77204      5.2416     0.67481     0.60177      2.8561      1.9318     0.55221      2.2583      1.9862      1.9238     0.10841     0.38608      3.2344      2.0745     0.04939      2.1484
      2.4448     0.23057     0.94576      2.2957      2.7963     0.38679      2.6743      4.6639      2.0636       2.712      6.8151      1.7096      1.3053      2.7257       1.015     0.83395      1.6302      3.6818      3.0479      1.9102     0.29328     0.34304      3.0861    0.086954]"
