,Feature Extractor,Dataset,Method,Fold,Sample Size,P,loss
1,ResNet34,NICO++,KN,outdoor,10,0.11084890341856284,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
1,ResNet34,NICO++,KN,outdoor,10,1,9.789416534736622
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
