,ind_dataset,ood_dataset,rep_model,sample_size,vanilla_p,kn_p,loss
47,cifar100,cifar100_0.0,Wrapped,100,4.641538770694815e-28,0.12300392451700602,2.1595100397389704
48,cifar100,cifar100_0.0,Wrapped,100,7.211509811958519e-41,0.014808406583149046,3.0663229857897387
49,cifar100,cifar100_0.0,Wrapped,100,1.618015262351177e-14,0.0022524542887572296,5.830644600220257
50,cifar100,cifar100_0.0,Wrapped,100,3.944336427828907e-15,0.013188183980475807,7.384995603065472
51,cifar100,cifar100_0.0,Wrapped,100,1.0998987422758085e-43,0.016604826009144452,3.753172136318881
52,cifar100,cifar100_0.0,Wrapped,100,3.299256361656912e-49,0.0012931184410822332,4.554473249332222
53,cifar100,cifar100_0.0,Wrapped,100,3.2019825510912895e-25,0.020791997193519672,5.358427415939514
54,cifar100,cifar100_0.0,Wrapped,100,2.03598780613404e-36,0.018593599293376836,5.444241365393391
55,cifar100,cifar100_0.0,Wrapped,100,3.5728387322562584e-21,0.05344703231951623,3.8000712220882997
56,cifar100,cifar100_0.0,Wrapped,100,8.997873060634887e-57,0.006392541507766507,5.476114567108453
57,cifar100,cifar100_0.0,Wrapped,100,1.8366970972023858e-75,0.0038369748542590085,4.58209499468705
58,cifar100,cifar100_0.0,Wrapped,100,7.096202452697083e-47,0.004368308046293661,2.9871277751063463
59,cifar100,cifar100_0.0,Wrapped,100,1.0163928242387582e-39,0.00336559330702058,2.753306407069358
60,cifar100,cifar100_0.0,Wrapped,100,1.78364644529977e-39,0.008182925625578114,2.2592457425463612
61,cifar100,cifar100_0.0,Wrapped,100,1.0669912991501762e-32,0.02883503827570163,4.008848066946084
62,cifar100,cifar100_0.0,Wrapped,100,1.108761676101149e-24,0.005638388773359207,7.19399434636347
63,cifar100,cifar100_0.0,Wrapped,100,6.839361993665214e-47,0.0007259350860671203,3.980648230933584
64,cifar100,cifar100_0.0,Wrapped,100,1.8589384533323605e-75,0.009239025221501678,3.891033070851117
65,cifar100,cifar100_0.0,Wrapped,100,1.250353250156876e-36,0.00336559330702058,5.497560429654332
66,cifar100,cifar100_0.0,Wrapped,100,1.4506678919067992e-30,0.0014886846887501536,7.009155732635409
67,cifar100,cifar100_0.0,Wrapped,100,3.9199737718651184e-37,0.006392541507766507,7.284812765551033
68,cifar100,cifar100_0.0,Wrapped,100,4.490019451993775e-43,0.0009715963032051572,3.6214556340201307
69,cifar100,cifar100_0.0,Wrapped,100,1.8004482743762496e-21,0.00015532540010352797,7.025170351044108
70,cifar100,cifar100_0.0,Wrapped,100,2.2042468154980842e-63,0.002948022173855442,9.534508142660329
71,cifar100,cifar100_0.0,Wrapped,100,2.3360154678639813e-31,0.035614712633158394,4.355138057972404
72,cifar100,cifar100_0.0,Wrapped,100,1.7426344473125244e-37,0.0014886846887501536,3.9445399482977153
73,cifar100,cifar100_0.0,Wrapped,100,2.0828764845443102e-20,0.00029273108317146804,3.322421973349992
74,cifar100,cifar100_0.0,Wrapped,100,6.235625150705633e-35,0.00046391438120057653,3.755766019609291
